elements_per_query,time execution,size_intersection
2,16739.9,1054459
5,357.5,507
3,1646.2,20561
4,791.6,1224
4,1170.6,5714
4,5941.8,117772
3,2207.4,24223
2,554.3,4243
3,401.4,479
3,817.9,2179
4,2546.4,15385
3,223.4,229
6,1830.7,3969
4,412.7,306
3,3516,256583
2,312.2,2715
6,2585.3,11236
2,405.6,2382
6,136.4,0
3,934,8231
2,1460,16208
3,2308,24473
5,181.6,81
4,3834.6,82607
5,283.7,67
5,287.2,254
4,753.9,2050
6,181,17
5,1661.4,6188
3,1335,6349
2,2600.3,48943
2,423.8,8805
3,521.5,875
5,1212.1,2837
2,700.2,24598
5,2138.2,9693
4,464.2,1111
3,1479.7,8460
10,2466.5,4593
4,355.5,1015
2,794.2,5794
4,214.6,78
2,442.1,4771
4,764.7,1910
2,291.5,1599
3,277.8,104
2,214.3,940
2,464.2,4937
2,217.2,1572
6,142.6,1
2,245.6,1070
2,9814.3,513413
2,231.8,1292
4,522.4,1398
3,441.6,1019
4,324.8,182
4,794,2682
4,3318.5,31023
2,1088.7,29184
2,14888.3,592433
4,220.1,12
7,511.2,1267
3,203.7,90
2,614.9,4455
6,1366.7,2053
3,443.5,5051
6,324,225
4,599.6,479
4,609,462
2,283.2,954
2,346.4,1821
3,2648.4,29146
4,985.2,5362
4,11884.9,312284
2,272.1,948
4,673,1017
4,1659.4,6577
4,314.7,160
2,128.2,59
5,378.5,484
4,1695.6,9952
4,3001.3,16752
7,233.4,48
3,299.4,493
3,357,534
3,175.8,160
3,2481.3,37794
4,1569.4,5227
4,895.9,3449
4,856.9,2433
6,651.3,474
5,645.3,848
5,1127.7,3423
5,316.7,45
4,10755.1,431499
5,467.4,969
3,15333.6,1025381
4,449.7,547
4,1240.6,4942
5,613,859
3,285.5,592
3,192.4,33
4,222.9,26
4,2958.9,62499
4,1890.8,16677
5,669.6,2089
3,897.4,2299
2,7237.6,187426
5,1025.3,1362
2,562,3633
3,3793.8,53444
4,849.8,1442
2,628.5,4878
4,211.9,88
3,866.8,22874
3,196.4,142
4,1317.6,4844
2,517.7,2950
4,501.8,976
3,618.6,2499
4,200.8,420
5,431.1,234
3,5825,110559
3,756.8,4481
3,255.5,229
2,200,1515
4,525.8,1103
3,2467,22691
4,237.1,88
3,5133.2,83976
2,515,3624
4,2463.3,25122
6,400.9,277
8,266.7,1113
2,907.3,52251
4,5959.4,142264
3,728.8,5761
4,568.7,1382
3,294.5,738
3,4101.2,69601
3,595.2,895
4,435.3,859
3,318.9,614
5,518.9,233
3,324.9,522
4,1673.9,8651
4,2146,16334
4,975.7,3124
5,676,1066
4,149.9,4
4,286.7,258
2,1325.9,56987
5,217.1,35
3,222.8,318
2,685.8,4256
3,388.1,536
4,182.7,63
2,3873.5,82457
4,913.1,2997
2,193.5,192
5,439.1,446
5,831.3,1614
5,295.1,69
3,221.4,152
5,533.5,404
4,1722.2,14251
3,243.9,257
3,2240.5,20185
2,3663.6,79784
3,467.7,1502
4,700.7,2479
3,2071.6,34434
3,2072.5,25561
3,193.6,83
4,289.6,685
2,203.6,680
4,1186.3,3757
2,3721.4,61415
4,10095.3,198941
4,1859.9,11182
3,549.5,1523
5,6026.4,47709
6,1418.8,5667
6,216.6,14
2,2920.6,146244
2,5898.1,130532
5,2889.8,27800
2,157.7,91
4,1734.7,7206
3,226.8,1752
7,449.1,317
3,6226.9,115372
4,1069.6,4327
3,1560.4,12068
2,265,685
3,4245.1,57336
3,1412.4,6141
4,1361.4,6935
3,291.2,824
2,216.2,791
2,2462.8,39598
5,1466.8,4379
4,391.7,1086
5,418.5,1232
3,274.7,88
3,11269.6,255123
4,1740.7,11684
3,173.9,157
4,318.9,313
3,1007.5,3425
6,542.7,743
5,254.2,464
5,845.9,928
3,983.9,4984
2,268.5,968
2,1308.2,41526
8,592.4,532
3,272.1,1535
3,218.5,212
3,1245.4,11904
4,469.5,5189
4,4153,44386
5,1311.8,2923
5,378.7,106
5,395.5,299
3,1279.5,12427
3,706.2,3274
4,12702.7,468492
3,378,1268
5,2021.6,9671
3,1759.7,15604
4,493.7,1153
4,445.7,277
5,280.3,340
4,871,4091
5,2481.4,11562
4,2407.8,30346
2,31151.4,2452383
3,1358.4,13693
4,834.8,4366
4,404.3,218
10,458.5,84
2,511.3,2715
5,295.9,15
5,656.8,892
4,238.4,255
5,186.5,3
4,366.1,373
3,348.2,2551
2,1073.3,7949
5,312.2,178
3,4747.6,61444
2,788.6,7997
3,4348.6,70640
3,672.4,2520
3,220.9,351
4,767.7,5937
2,428.1,1086
8,2887.3,5250
2,175.6,99
