elements_per_query,time execution,size_intersection
2,3543.4,162859
5,6795.3,45383
5,522.4,279
4,761.6,364
3,2316.6,6140
4,4610.9,16092
5,2887.6,6228
2,652.4,6990
3,953.9,1216
3,10649.3,112600
4,8640.2,76869
3,1718.2,10215
3,5206.8,44886
5,10016.1,54380
4,1903,5319
4,11046.2,201617
6,12015.5,46343
4,3112.2,7067
3,1404.8,6264
4,5368,23475
6,3703.3,3980
6,519.8,279
2,14914.2,373468
6,2967.9,3119
3,15454.2,301359
2,690.3,3828
4,670.2,730
4,855.4,1118
2,561,1902
5,4611.2,15337
4,272,112
4,978.6,1260
4,363.2,299
2,1201.6,8919
4,382.6,76
5,1485,1018
5,509.4,144
4,501.9,1122
4,3716.9,14486
3,699.3,1872
4,526.5,721
2,1261.9,12985
3,3875.1,30217
3,262.8,548
4,702.7,731
4,2233.3,7391
3,816.6,828
8,3035.7,2667
5,1636.4,1220
6,896.6,408
3,389.9,642
3,3820,23698
4,674,538
5,659.6,162
5,2275.5,2500
3,405.9,964
4,1976.5,10172
4,3035.2,6948
3,623.3,548
6,897.1,1693
3,864.6,1708
2,2926.5,22258
4,954.8,1051
3,310.2,704
3,1321,4129
5,125,4
5,1578.1,6502
4,3492.9,13293
3,562.8,1273
6,417.1,116
6,201.2,4
3,829,10722
4,196.9,21
4,9860.9,69026
6,1713.3,1777
3,533.7,926
4,1916.3,3007
4,905.9,2746
3,3622.2,37226
4,194.4,16
3,1432.5,5774
5,3827.4,6766
4,678.5,931
5,1407.5,611
4,401.7,1297
3,495.1,398
4,1376.9,986
7,663.3,146
5,1035.6,1072
4,363.4,126
5,431.8,132
4,620.2,900
3,770.1,2040
2,610,5181
4,579.5,882
4,3138,8967
5,750.7,1974
8,11563.5,39460
5,592,588
5,3708.6,12078
4,3375.8,14865
4,814.7,1300
6,329.3,32
3,274.5,308
3,2221.7,21158
2,246.9,890
3,1234.7,5285
5,3162.7,6618
5,9882.8,59920
11,6132.1,2727
3,193.7,28
3,1523.8,8865
6,1209.8,586
4,2116,3084
4,5201.8,23606
4,431.7,226
3,1389.4,6235
4,142.2,7
4,1606.1,2278
4,9376.6,67800
2,13091.1,700818
4,4007.7,13534
3,2354.3,8687
2,4473.5,101661
3,262.6,51
6,5841.6,14033
3,620.4,365
5,1508.3,1208
3,7477.8,73570
5,719.1,506
4,2112.7,7055
4,7302,39336
2,1616.8,11702
2,1305.3,9340
4,299.4,242
4,263.2,15
5,382.8,57
3,412.7,1618
4,418.5,833
4,970.4,1278
2,4651.7,101326
3,298.8,245
4,1082.1,2159
3,4560.6,40664
5,706.2,451
5,1063.6,451
6,10768.4,37951
4,797.3,1557
3,2187.6,12244
2,806.8,7548
3,2803.6,14595
4,248.6,172
4,1647.4,14687
2,5402.6,80656
5,1080.9,938
5,652.6,145
3,855.2,1396
3,995.7,1628
4,327.6,188
2,2463.6,16848
6,230.5,5
3,7564.3,51467
3,286.1,232
3,2258.2,12715
3,590.5,1830
3,3081.9,18215
3,239.5,126
5,470.6,60
3,444.3,572
2,406,1270
3,415,814
2,23915.8,725781
3,1433.6,7865
3,9566.6,133505
3,1153.3,2013
3,3805.2,18669
6,1144.3,252
5,642.9,211
4,1973.6,7266
5,3614.6,9014
3,223.4,913
2,423.4,3221
3,455,1104
6,1492.3,1972
2,1197.4,6807
3,3571.4,33548
3,531.9,554
6,1010.9,364
2,172.9,97
3,849.3,6251
4,14732.5,191475
6,2861.5,2825
4,1635,6777
2,2680.5,27656
2,287.8,1037
4,1649.5,8322
3,380.6,719
2,2837.5,28275
5,663.7,53
5,1200.8,910
2,5411.4,73065
4,4619.4,36137
4,3207.4,12664
3,6910.4,67769
3,3894.7,34945
4,811.9,1273
3,2470,13217
7,6391.3,18807
2,320.5,2975
2,209,266
4,2693.2,5788
2,1320.8,7160
4,142.3,1
2,2070.4,26815
7,11065.6,45895
7,1355.8,245
5,148.6,1
5,1471.7,686
5,785.1,641
5,942.6,917
3,3357.7,34577
4,1251.1,2639
2,278.7,1116
4,1236.9,8097
3,8352.4,103027
3,138.2,61
4,6457.8,27070
3,1090.6,5384
4,364.1,363
3,4208,37549
4,150.1,60
3,2052.6,12032
4,1420.4,2405
5,6376.1,25536
4,454.2,71
3,322.9,357
2,212.7,863
3,13474.4,411802
4,848.5,664
5,10998.2,46502
2,666.5,5500
4,564.9,335
6,402.6,126
3,3091.2,23343
3,2844.6,17534
2,1070.3,5763
3,980.8,2150
5,258.4,159
4,3071,6697
4,1211.7,1766
4,2477.4,5386
3,1125.8,2093
4,1342.1,2613
3,580.4,13857
5,3154.8,7470
4,2454.7,5888
4,1499.1,1073
2,678.5,3032
2,394.3,3048
3,642.9,5343
4,177.3,20
8,5891.4,7253
4,3034,6959
4,3328.5,10110
