elements_per_query,time execution,size_intersection
3,10235.3,294086
6,476.4,171
3,2523.6,16873
6,694.8,706
3,1109.7,7101
2,2156.9,23451
3,3013.8,594383
6,1100.3,2098
3,1120.7,7962
5,450.9,597
3,309.6,198
3,5651.3,117432
5,411.9,1672
4,520.4,281
2,237.5,753
3,503.9,3197
2,489,2545
3,676.1,5590
4,260.3,484
4,374.2,1182
6,3577,13147
3,232.9,707
4,1369.3,11423
2,458.4,18625
4,145.8,4
4,844.3,2327
6,1287.5,3011
3,1048.7,6080
3,808.4,5712
3,12890.5,300930
5,3444.4,21902
2,232,1256
2,9480.7,388838
2,6665,168528
3,1939,17191
4,340.6,558
4,831.1,1661
4,859.6,2192
2,2316.1,29028
4,1168.1,2810
3,271.4,341
4,562,1386
2,194.2,797
4,207.9,102
3,1615.7,8818
2,169.1,410
2,534.2,2727
4,289.5,450
2,4546.1,100165
4,746,2667
3,375.5,1458
3,2224,23265
3,229.9,449
5,292.3,578
8,2595.2,5806
4,210.1,314
4,2428.4,12688
3,1414.3,11463
4,383.4,526
5,4425.2,30625
3,459.4,3228
4,484,589
4,1210.9,6799
4,542.4,1449
3,454.1,1424
3,155.3,739
4,2716.4,19831
3,10085.5,691444
4,550.2,2573
4,1352.2,7413
8,772.6,612
3,799.1,1798
4,1039.2,2540
6,506.3,77
4,877.4,1629
5,1956.7,13188
2,15854.9,1054459
5,381.3,507
3,1663.9,20561
4,871.8,1224
4,1266.9,5714
4,6241.7,117772
3,2444.6,24223
2,582.2,4243
3,414,479
3,901.4,2179
4,2735.2,15385
3,228.4,229
6,2041.9,3969
4,437,306
3,2547,256583
2,307,2715
6,2868.6,11236
2,412.4,2382
6,170.8,0
3,983.6,8231
2,1525.8,16208
3,2422.2,24473
5,194.4,81
4,3944.6,82607
5,285.5,67
5,304.4,254
4,803,2050
6,194,17
5,1821.9,6188
3,1430.1,6349
2,2617.7,48943
2,421,8805
3,569.5,875
5,1340.4,2837
2,536.9,24598
5,2330.2,9693
4,497.2,1111
3,1615.5,8460
10,2787.1,4593
4,392,1015
2,830,5794
4,226.7,78
2,472.4,4771
4,836.3,1910
2,307.8,1599
3,294.3,104
2,219.5,940
2,479.2,4937
2,206.3,1572
6,142.1,1
2,255.6,1070
2,4279.4,513413
2,242.1,1292
4,555.5,1398
3,460.2,1019
4,348.8,182
4,839.5,2682
4,3503.1,31023
2,1082,29184
2,14891.8,592433
4,235.2,12
7,636.3,1267
3,216.3,90
2,649.3,4455
6,1503.6,2053
3,439.6,5051
6,348.1,225
4,659,479
4,669,462
2,297.7,954
2,368.7,1821
3,2782.3,29146
4,1070.1,5362
4,11743.2,312284
2,274.9,948
4,732.1,1017
4,1818.7,6577
4,340.3,160
2,127.5,59
5,419.5,484
4,1783.7,9952
4,3244.9,16752
7,247.5,48
3,326,493
3,387.9,534
3,177.9,160
3,2524.3,37794
4,1704.6,5227
4,866.5,3449
4,912.1,2433
6,705.3,474
5,713.7,848
5,1231.1,3423
5,315.3,45
4,6829,431499
5,497.4,969
3,4708.9,1025381
4,476.2,547
4,1351.5,4942
5,671.4,859
3,299.7,592
3,199.3,33
4,229.8,26
4,3037.9,62499
4,2001.8,16677
5,715.9,2089
3,975.4,2299
2,7141.3,187426
5,1133,1362
2,549.8,3633
3,4199.9,53444
4,901.8,1442
2,650.4,4878
4,208.3,88
3,729.8,22874
3,209.6,142
4,1440.5,4844
2,539.7,2950
4,539.8,976
3,684.2,2499
4,222.1,420
5,475.4,234
3,6252.1,110559
3,817.8,4481
3,269.5,229
2,199.6,1515
4,564.6,1103
3,2723.5,22691
4,226.2,88
3,5379.1,83976
2,530.7,3624
4,2692.6,25122
6,435.2,277
8,283.1,1113
2,836.1,52251
4,6456.6,142264
3,764.6,5761
4,605.4,1382
3,311.2,738
3,4227.9,69601
3,655.1,895
4,460.2,859
3,367.8,614
5,565.2,233
3,362.3,522
4,1781.1,8651
4,2298.4,16334
4,1067.9,3124
5,734,1066
4,165.9,4
4,303.2,258
2,885.5,56987
5,231.1,35
3,235.3,318
2,715.7,4256
3,420.5,536
4,198,63
2,3915.5,82457
4,983.9,2997
2,199.2,192
5,497.8,446
5,906.4,1614
5,290.9,69
3,226.4,152
5,592.9,404
4,1809.8,14251
3,227.2,257
3,2424.7,20185
2,3722.7,79784
3,504.1,1502
4,769.1,2479
3,2229.4,34434
3,2186.5,25561
3,198.6,83
4,319.9,685
2,219.6,680
4,1320.5,3757
2,3788.5,61415
4,10793.5,198941
4,1978,11182
3,595.6,1523
5,6580.9,47709
6,1599.7,5667
6,246.4,14
2,2789.1,146244
2,6025,130532
5,2819.2,27800
2,158.1,91
4,1858.6,7206
3,240.5,1752
7,488.6,317
3,6738.9,115372
4,1153.3,4327
3,1725.3,12068
2,282.4,685
3,4514.7,57336
3,1572.7,6141
4,1456.1,6935
3,302,824
2,216.5,791
2,2520.4,39598
5,1595.3,4379
4,425.6,1086
5,451.9,1232
3,286,88
3,11717.6,255123
4,1791.5,11684
3,197,157
4,355.6,313
3,1055.6,3425
6,560.6,743
5,273.1,464
5,939,928
3,1032.8,4984
2,263.2,968
2,1329.4,41526
8,615.6,532
3,299.4,1535
3,221.4,212
3,1269.2,11904
4,469,5189
4,4364.5,44386
5,1465.5,2923
5,344.2,106
5,425.5,299
3,1332.7,12427
3,762,3274
4,12320.1,468492
3,400.4,1268
5,2191.1,9671
3,1844.1,15604
4,491.5,1153
4,447.7,277
5,305.8,340
4,931.9,4091
5,2665.4,11562
4,2537.1,30346
2,22794.6,2452383
3,1432.5,13693
4,884.8,4366
4,429.8,218
10,485.3,84
2,536.4,2715
5,319.3,15
5,700.5,892
4,225.6,255
5,197.3,3
4,399.5,373
3,363.9,2551
2,1096.5,7949
5,330.7,178
3,5091.5,61444
2,832.2,7997
3,4418.1,70640
3,694.5,2520
3,248.9,351
4,808.4,5937
2,447.1,1086
8,3394.5,5250
2,177.4,99
3,419,2000
3,125.3,0
5,172.8,3
3,264.5,728
5,222.9,105
3,7732.6,113191
3,911.2,8929
4,1973.2,8841
5,1014.1,2517
4,1975.2,13189
8,1198.2,491
8,1397,2369
3,729.8,7959
5,1048.4,1887
3,357.2,654
4,750.2,2682
3,3217.8,31144
3,222.1,465
3,1754.2,26337
4,1410,9090
3,2337,22128
3,899.3,5070
4,194.8,156
5,252.2,816
3,1949.3,19009
4,308.8,60
5,2635.9,7072
3,143.1,49
3,628.5,5848
6,1768.8,3526
3,509.8,2552
4,676.8,1542
5,473.7,523
6,6294.6,56514
4,222.6,585
3,449.7,617
5,1380.2,2823
2,153.9,4456
3,178.6,762
3,460.6,2632
4,685.7,1281
4,211.9,122
3,346.2,2413
4,1012,2526
4,372.2,1180
4,599.9,587
3,2279.9,14570
5,379.3,180
3,564.4,3893
4,1115.1,11679
3,1737.7,21485
6,1488.9,2460
7,1754.5,2242
3,523.1,1098
3,2151.2,50562
6,501.8,173
4,1136.8,3794
2,282.8,1698
5,239.4,12
4,918.3,2693
3,173,182
6,354.8,351
4,376.2,418
3,507.3,1093
4,356.5,1020
6,310.2,443
5,369.8,1573
4,3177.5,25610
6,1118.6,1362
4,373,694
3,617.6,1252
4,1602.1,5802
4,2246.8,9618
4,220.5,170
2,278.8,1113
3,2103.5,18451
5,4256.7,28396
5,887.7,3258
3,479.8,2949
7,265.4,16
4,9618.9,137938
2,1850.6,162859
5,4018.8,45383
5,356.2,279
4,506.2,364
3,1561.6,6140
4,2825,16092
5,1663.1,6228
2,490.3,6990
3,675.3,1216
3,7392.4,112600
4,5319.2,76869
3,1164.1,10215
3,3482.2,44886
5,5935.4,54380
4,1184.7,5319
4,5786.4,201617
6,7134.7,46343
4,1939,7067
3,932.4,6264
4,3135.4,23475
6,2177.2,3980
6,331,279
2,10771,373468
6,1709.9,3119
3,10178.7,301359
2,540,3828
4,454.1,730
4,538,1118
2,436.6,1902
5,2690.2,15337
4,205.3,112
4,611.6,1260
4,276.7,299
2,894.5,8919
4,272.4,76
5,868.8,1018
5,326.9,144
4,317.2,1122
4,2099.2,14486
3,483.7,1872
4,349.1,721
2,948.3,12985
3,2648.9,30217
3,205.8,548
4,446.3,731
4,1335.5,7391
3,572.8,828
8,1728.3,2667
5,1006.5,1220
6,534.6,408
3,293.2,642
3,2532.1,23698
4,411.5,538
5,408.5,162
5,1316.4,2500
3,276.9,964
4,1152.5,10172
4,1805.3,6948
3,445.9,548
6,517.3,1693
3,618.7,1708
2,2210.5,22258
4,611.4,1051
3,245.6,704
3,908.3,4129
5,139,4
5,934.3,6502
4,2113.8,13293
3,387.8,1273
6,309.4,116
6,170.1,4
3,570.3,10722
4,166.9,21
4,5917.2,69026
6,1082.1,1777
3,422.6,926
4,1650.5,3007
4,573.1,2746
3,2454.5,37226
4,144.5,16
3,1002,5774
5,2284.4,6766
4,406.9,931
5,820,611
4,271.3,1297
3,378.9,398
4,892.6,986
7,427.9,146
5,654.4,1072
4,246.8,126
5,289.4,132
4,403.5,900
3,511.9,2040
2,476.1,5181
4,377.6,882
4,2022.6,8967
5,498.3,1974
8,6521.3,39460
5,394,588
5,2227.7,12078
4,2068.2,14865
4,554.8,1300
6,247.4,32
3,211.7,308
3,1460.8,21158
2,204.8,890
3,850.9,5285
5,1945.4,6618
5,5943.7,59920
11,3542.3,2727
3,180,28
3,1036.9,8865
6,757.4,586
4,1341.5,3084
4,3169.3,23606
4,302.5,226
3,962,6235
4,141.9,7
4,981.3,2278
4,5563.1,67800
2,3394.3,700818
4,2430.6,13534
3,1599,8687
2,3255.8,101661
3,237,51
6,3561.8,14033
3,482.5,365
5,963.6,1208
3,5057.4,73570
5,473,506
4,1344.3,7055
4,4492.8,39336
2,1232.4,11702
2,974.3,9340
4,248.3,242
4,229.2,15
5,262.7,57
3,309.4,1618
4,298.7,833
4,602.2,1278
2,3109.5,101326
3,224.1,245
4,663.9,2159
3,3098.7,40664
5,438.5,451
5,641.5,451
6,6182.6,37951
4,497.1,1557
3,1475.5,12244
2,618,7548
3,1952.9,14595
4,192.8,172
4,935.7,14687
2,3915,80656
5,674,938
5,424.2,145
3,599.7,1396
3,693.8,1628
4,237.9,188
2,1847.7,16848
6,179.7,5
3,5220.7,51467
3,214,232
3,1505.7,12715
3,427.6,1830
3,2095.8,18215
3,202.3,126
5,314.7,60
3,354.6,572
2,327.5,1270
3,322.9,814
2,17480.8,725781
3,981.3,7865
3,5234.2,133505
3,787.5,2013
3,2606.8,18669
6,693.5,252
5,417.5,211
4,1204.5,7266
5,2154.4,9014
3,206.1,913
2,347.6,3221
3,347.3,1104
6,965.9,1972
2,903.3,6807
3,2423.1,33548
3,384.7,554
6,621.3,364
2,168.6,97
3,594.6,6251
4,9042.8,191475
6,1693,2825
4,991.3,6777
2,1978.4,27656
2,240.2,1037
4,998,8322
3,289.4,719
2,2137.3,28275
5,442.5,53
5,731,910
2,4039.3,73065
4,2481.5,36137
4,1935.8,12664
3,4706,67769
3,2533.9,34945
4,511.1,1273
3,1685.8,13217
7,3674.7,18807
2,271.9,2975
2,196.3,266
4,1691.9,5788
2,991.3,7160
4,137.2,1
2,1502.6,26815
7,6296.4,45895
7,810,245
5,138,1
5,886.7,686
5,475.2,641
5,587.3,917
3,2254.4,34577
4,779.4,2639
2,233.4,1116
4,781.5,8097
3,5641,103027
3,134.5,61
4,3908.1,27070
3,688.5,5384
4,264.2,363
3,2787.9,37549
4,137.1,60
3,1381.5,12032
4,872.2,2405
5,3854,25536
4,313,71
3,251.3,357
2,195.2,863
3,7672,411802
4,544.6,664
5,6591.3,46502
2,486.7,5500
4,373.5,335
6,272.6,126
3,2093.5,23343
3,1896.5,17534
2,809.7,5763
3,662.1,2150
5,200.5,159
4,1911.3,6697
4,749.4,1766
4,1512.3,5386
3,792.5,2093
4,805.5,2613
3,260.8,13857
5,1874.1,7470
4,1530.8,5888
4,930.6,1073
2,530.8,3032
2,319.6,3048
3,471.9,5343
4,142.9,20
8,3317.6,7253
4,1860.7,6959
4,2002,10110
2,1241.4,20192
4,364.5,2884
4,870.8,763
2,356.1,1107
6,1636.4,3061
3,486,3527
4,513.8,917
5,339.4,555
4,378.4,814
5,693.9,827
3,549.3,524
3,311,104
3,1389.8,11926
3,803.9,2771
5,422.3,735
4,1121,61759
7,1000.3,621
4,1545.3,12965
6,694.3,1270
2,920.1,11518
3,993.6,2305
4,819.4,7023
5,1883.6,7648
3,1664.1,13305
4,532.6,802
6,3382.1,12341
5,988.9,5397
